gameID,season,country,bowler,style,overs,maidens,runs,wickets,rpo,average,extras
1,1,Ireland,T. Murtagh,RFM,14,3,56,3,4.00,18.67,5
1,1,Ireland,C. Young,RFM,12.3,1,60,1,4.80,60.00,2
1,1,Ireland,B. Rankin,RFM,16,0,111,2,6.94,55.50,4
1,1,Ireland,G. Dockrell,LO,16,0,55,1,3.44,55.00,2
1,1,Ireland,K. O'Brien,RMF,11,1,54,1,4.91,54.00,3
1,1,Ireland,P. Stirling,RO,5,0,25,0,5.00,#N/A,1
2,1,Zimbabwe,C. Mumba,RFM,15,1,65,1,4.33,65.00,2
2,1,Zimbabwe,D. Tiripano,RFM,14.1,4,58,1,4.09,58.00,1
2,1,Zimbabwe,C. Mpofu,RFM,17,4,64,3,3.76,21.33,3
2,1,Zimbabwe,G. Cremer,RL,17,0,85,2,5.00,42.50,2
2,1,Zimbabwe,S. Williams,LO,5,1,18,0,3.60,#N/A,0
2,1,Zimbabwe,M. Waller,RO,9,1,27,3,3.00,9.00,0
3,1,Afghanistan,D. Zadran,RFM,23,7,57,4,2.48,14.25,3
3,1,Afghanistan,Y. Ahmadzai,RMF,13,3,36,1,2.77,36.00,2
3,1,Afghanistan,M. Ashraf,RFM,20,2,72,1,3.60,72.00,3
3,1,Afghanistan,M. Nabi,RO,19,5,50,2,2.63,25.00,0
3,1,Afghanistan,R. Khan,RL,12,3,24,0,2.00,#N/A,2
3,1,Afghanistan,S. Shenwari,RL,11,2,31,0,2.82,#N/A,0
4,1,Bangladesh,M. Rahman,LFM,24,5,108,2,4.50,54.00,2
4,1,Bangladesh,T. Ahmed,RF,23,3,77,3,3.35,25.67,1
4,1,Bangladesh,S. Roy,RFM,15.3,3,65,3,4.19,21.67,5
4,1,Bangladesh,S. Al-Hasan,LO,12,3,29,0,2.42,#N/A,1
4,1,Bangladesh,M. Hasan Miraz,RO,12,3,28,0,2.33,#N/A,1
5,1,West Indies,S. Gabriel,RF,21,4,75,2,3.57,37.50,2
5,1,West Indies,A. Joseph,RFM,18,4,63,1,3.50,63.00,3
5,1,West Indies,D. Bishoo,RL,22,0,66,3,3.00,22.00,1
5,1,West Indies,J. Holder,RMF,15.3,2,60,1,3.87,60.00,1
6,1,Sri Lanka,N. Pradeep,RFM,20,3,90,2,4.50,45.00,3
6,1,Sri Lanka,L. Kumara,RF,17,4,74,0,4.35,#N/A,1
6,1,Sri Lanka,R. Herath,LO,28.1,3,141,3,5.01,47.00,4
6,1,Sri Lanka,S. Lakmal,RFM,23,7,86,1,3.74,86.00,1
6,1,Sri Lanka,A. Mathews,RM,6,1,19,1,3.17,19.00,0
7,1,Pakistan,M. Amir,LF,15,5,52,2,3.47,26.00,2
7,1,Pakistan,W. Riaz,LF,15,5,31,3,2.07,10.33,1
7,1,Pakistan,Y. Shah,RL,16.3,3,49,1,2.97,49.00,1
7,1,Pakistan,I. Khan,RMF,14,4,44,1,3.14,44.00,0
8,1,South Africa,M. Morkel,RF,18,2,74,1,4.11,74.00,1
8,1,South Africa,D. Steyn,RF,19.5,5,73,5,3.68,14.60,0
